id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5850649,Explore the Woods from a Quiet Apartment near Sierra Nevada,30377862,Daniel,,28704,35.44968,-82.5197,Entire home/apt,92,2,281,2021-12-06,4.13,1,355,18,
5851392,Charming  Montford Apartment ~Walk Downtown,5664205,Melissa And Mary,,28801,35.59712,-82.57044,Entire home/apt,86,1,243,2021-11-28,2.98,1,41,66,
5868695,Buried in Woods- Full of Art/ Style,21353533,Trip,,28803,35.54909,-82.48628,Entire home/apt,229,4,128,2021-10-23,1.63,1,308,5,
5917298,The Tarot House,30728739,Betsy,,28801,35.60952,-82.55374,Private room,60,30,198,2021-12-04,2.43,1,259,3,
5947797,Private Entrance/10 Min to DT AVL/Dog Friendly,30878733,Kyley,,28715,35.54977,-82.63776,Private room,88,2,95,2021-11-22,1.43,1,348,10,
6005112,Solar House in South Asheville,31174094,Walter,,28803,35.49363,-82.51539,Private room,73,2,54,2021-11-28,1.45,2,93,20,
6054250,The Rad Pad—Quiet Modern Nest 2 Blocks off Haywood Road,1826173,Meg,,28806,35.57517,-82.57827,Entire home/apt,119,2,788,2021-11-27,9.74,1,231,104,
6056098,Mountain Beauty/City Convenience,31430181,Rob,,28804,35.62716,-82.50869,Entire home/apt,168,3,139,2021-11-28,1.73,1,154,14,
6079982,Graceful Heart Cottage,3572350,Grace,,28732,35.42342,-82.47322,Entire home/apt,101,1,93,2021-07-09,1.16,1,93,8,
6145162,"Downtown Asheville, Small Single - Best Value! -#7",7625694,John,,28801,35.59058,-82.55014,Private room,52,2,260,2021-11-19,3.23,9,339,23,
6170347,"Charm n Comfort: 1 mi to Biltmore Estate, 4 to DT!",32013434,Marilynn,,28803,35.55061,-82.5348,Private room,50,1,295,2021-12-09,3.75,1,64,25,
6180513,"Sunny, Modern Apartment in Vibrant Downtown Asheville",32054468,Jeremy,,28801,35.59437,-82.56054,Entire home/apt,203,1,87,2021-11-28,1.09,4,354,18,
6197585,Sunny West Asheville Studio Apt.,32065101,Aimee,,28806,35.56829,-82.61405,Entire home/apt,60,30,111,2021-12-04,1.39,1,173,5,
6227094,Groove Stone Getaway,32297877,Louis,,28805,35.57819,-82.47713,Entire home/apt,93,30,74,2021-05-04,0.92,1,232,3,
6234618,"West Side Loft- Cozy, Clean & Comfortable",32351091,Monica,,28806,35.58215,-82.61086,Entire home/apt,72,2,224,2021-12-13,2.83,1,70,21,
6290666,Mountain View Charming Space Five Mins to Downtown,21539203,Dorothy,,28805,35.59373,-82.53663,Entire home/apt,106,2,547,2021-11-28,6.82,3,274,99,
6362850,Your Chic Mountain Getaway in the Forest!,33151095,Tiff,,28803,35.51689,-82.48087,Entire home/apt,67,1,229,2021-11-30,2.86,6,62,21,
6363332,"Welcome to ""Cozy Oak Cottage""",32221473,Randy,,28803,35.56746,-82.52602,Entire home/apt,65,30,18,2021-10-31,0.23,2,44,3,
6399802,Downtown Asheville With a View - Great Value! -#11,7625694,John,,28801,35.59085,-82.5497,Private room,92,2,324,2021-11-15,4.04,9,341,21,
6452410,Stay in historic downtown suburb,16023445,Tara,,28801,35.6117,-82.55088,Entire home/apt,99,30,188,2021-04-22,2.39,2,42,3,
6609327,The Barn At Mountain Meadows,26946813,Anna,,28804,35.63373,-82.49752,Entire home/apt,295,2,14,2021-09-20,0.41,3,265,7,
